,Open,High,Low,Close,Volume,QuoteVolume
2022-09-08 18:43:00+09:00,2770637.0,2770647.0,2769054.0,2769057.0,2.928,8109806.16
2022-09-08 18:44:00+09:00,2769054.0,2769371.0,2768312.0,2769140.0,2.6565236,7355285.4812685
2022-09-08 18:45:00+09:00,2769105.0,2769563.0,2768813.0,2769497.0,1.2902425,3572879.84055321
2022-09-08 18:46:00+09:00,2769095.0,2769747.0,2768809.0,2768809.0,0.73071,2023417.7380418
2022-09-08 18:47:00+09:00,2768808.0,2769097.0,2767466.0,2767613.0,2.25763039,6249691.72651396
2022-09-08 18:48:00+09:00,2767736.0,2767825.0,2765970.0,2766376.0,2.85139597,7890269.2219715
2022-09-08 18:49:00+09:00,2766598.0,2767211.0,2760001.0,2762369.0,10.95092544,30255026.48808338
2022-09-08 18:50:00+09:00,2762402.0,2763206.0,2760016.0,2761221.0,6.86803736,18963841.31874689
2022-09-08 18:51:00+09:00,2761309.0,2763066.0,2761068.0,2761784.0,7.15345592,19758064.93678907
2022-09-08 18:52:00+09:00,2762474.0,2763904.0,2761944.0,2763904.0,2.59037549,7157915.72516398
2022-09-08 18:53:00+09:00,2763897.0,2765822.0,2762565.0,2764183.0,8.03728915,22217866.71271687
2022-09-08 18:54:00+09:00,2763720.0,2764639.0,2763332.0,2764470.0,4.52199765,12500343.44958745
2022-09-08 18:55:00+09:00,2764620.0,2764623.0,2763394.0,2764033.0,0.88045386,2433560.10282675
2022-09-08 18:56:00+09:00,2764133.0,2764623.0,2764133.0,2764590.0,0.56684391,1567011.5001469
2022-09-08 18:57:00+09:00,2764581.0,2765712.0,2764476.0,2765150.0,3.9620624,10955564.25489303
2022-09-08 18:58:00+09:00,2764856.0,2767682.0,2764476.0,2766354.0,7.0365543,19466265.77806867
2022-09-08 18:59:00+09:00,2766354.0,2767250.0,2766008.0,2767178.0,4.09081502,11318533.17604315
2022-09-08 19:00:00+09:00,2767000.0,2767081.0,2765930.0,2765930.0,2.53467248,7011633.6347807
2022-09-08 19:01:00+09:00,2765930.0,2766450.0,2765930.0,2766081.0,2.20842719,6109039.2925694
2022-09-08 19:02:00+09:00,2766482.0,2767195.0,2766057.0,2766566.0,1.01521499,2808741.53782434
2022-09-08 19:03:00+09:00,2766677.0,2767195.0,2765832.0,2766738.0,2.49609426,6905662.15126834
2022-09-08 19:04:00+09:00,2766550.0,2766550.0,2765907.0,2765907.0,0.66,1825822.77
2022-09-08 19:05:00+09:00,2765795.0,2765795.0,2764476.0,2765329.0,6.95217697,19223965.10902931
